,D,day,month,year,wy,tmax_c,tmin_c,precip,wyd
1,10/1/88,1,10,1988,1989,21.23055555,15.33611111,0,1
2,10/2/88,2,10,1988,1989,21.23055555,15.33611111,0,2
3,10/3/88,3,10,1988,1989,19.74944445,13.00888889,0,3
4,10/4/88,4,10,1988,1989,20.80055555,13.79777778,0,4
5,10/5/88,5,10,1988,1989,20.80055555,14.15277778,0,5
6,10/6/88,6,10,1988,1989,21.23055555,15.33611111,0,6
7,10/7/88,7,10,1988,1989,21.23055555,12.575,0,7
8,10/8/88,8,10,1988,1989,26.05611111,10.99722222,0,8
9,10/9/88,9,10,1988,1989,31.69388889,13.00888889,0,9
10,10/10/88,10,10,1988,1989,32.21944445,13.00888889,0,10
11,10/11/88,11,10,1988,1989,28.875,13.36388889,0,11
12,10/12/88,12,10,1988,1989,23.61944445,14.90222222,0,12
13,10/13/88,13,10,1988,1989,21.75611111,13.00888889,0,13
14,10/14/88,14,10,1988,1989,20.80055555,13.36388889,0,14
15,10/15/88,15,10,1988,1989,24.04944445,10.60277778,0,15
16,10/16/88,16,10,1988,1989,28.34944445,11.78611111,0,16
17,10/17/88,17,10,1988,1989,28.875,13.36388889,0,17
18,10/18/88,18,10,1988,1989,22.66388889,16.55888889,0,18
19,10/19/88,19,10,1988,1989,22.18611111,17.34777778,0,19
20,10/20/88,20,10,1988,1989,20.275,14.15277778,0,20
21,10/21/88,21,10,1988,1989,20.80055555,17.34777778,0,21
22,10/22/88,22,10,1988,1989,20.80055555,15.69111111,0,22
23,10/23/88,23,10,1988,1989,18.36388889,16.125,0,23
24,10/24/88,24,10,1988,1989,18.79388889,15.69111111,0,24
25,10/25/88,25,10,1988,1989,18.79388889,14.90222222,0,25
26,10/26/88,26,10,1988,1989,19.74944445,15.69111111,0,26
27,10/27/88,27,10,1988,1989,18.36388889,15.69111111,0,27
28,10/28/88,28,10,1988,1989,18.36388889,12.575,0,28
29,10/29/88,29,10,1988,1989,21.23055555,9.813888889,0,29
30,10/30/88,30,10,1988,1989,21.23055555,9.813888889,0,30
31,10/31/88,31,10,1988,1989,22.18611111,10.24777778,0,31
32,11/1/88,1,11,1988,1989,24.04944445,14.54722222,0,32
33,11/2/88,2,11,1988,1989,21.75611111,9.813888889,0,33
34,11/3/88,3,11,1988,1989,22.18611111,11.35222222,0,34
35,11/4/88,4,11,1988,1989,23.09388889,11.78611111,0,35
36,11/5/88,5,11,1988,1989,24.04944445,12.575,0,36
37,11/6/88,6,11,1988,1989,24.575,12.575,0,37
38,11/7/88,7,11,1988,1989,20.275,15.33611111,0,38
39,11/8/88,8,11,1988,1989,19.74944445,10.99722222,0,39
40,11/9/88,9,11,1988,1989,19.74944445,10.99722222,0,40
41,11/10/88,10,11,1988,1989,19.74944445,12.14111111,0,41
42,11/11/88,11,11,1988,1989,20.275,10.60277778,0,42
43,11/12/88,12,11,1988,1989,20.80055555,10.60277778,0,43
44,11/13/88,13,11,1988,1989,19.31944445,10.24777778,2.557,44
45,11/14/88,14,11,1988,1989,18.79388889,11.78611111,0,45
46,11/15/88,15,11,1988,1989,19.31944445,8.591111111,0,46
47,11/16/88,16,11,1988,1989,20.275,7.052777778,0,47
48,11/17/88,17,11,1988,1989,21.75611111,11.78611111,0,48
49,11/18/88,18,11,1988,1989,20.80055555,7.447222222,0,49
50,11/19/88,19,11,1988,1989,19.74944445,6.697777778,0,50
51,11/20/88,20,11,1988,1989,18.36388889,4.686111111,0,51
52,11/21/88,21,11,1988,1989,20.80055555,5.908888889,0,52
53,11/22/88,22,11,1988,1989,20.80055555,6.263888889,0,53
54,11/23/88,23,11,1988,1989,20.275,10.60277778,0,54
55,11/24/88,24,11,1988,1989,17.88611111,9.813888889,1.576,55
56,11/25/88,25,11,1988,1989,18.36388889,10.99722222,16.745,56
57,11/26/88,26,11,1988,1989,18.36388889,11.35222222,0,57
58,11/27/88,27,11,1988,1989,20.275,7.447222222,0,58
59,11/28/88,28,11,1988,1989,20.275,6.697777778,0,59
60,11/29/88,29,11,1988,1989,26.05611111,7.802222222,0,60
61,11/30/88,30,11,1988,1989,29.83055555,10.24777778,0,61
62,12/1/88,1,12,1988,1989,30.78611111,9.025,0,62
63,12/2/88,2,12,1988,1989,25.10055555,8.591111111,0,63
64,12/3/88,3,12,1988,1989,23.09388889,10.99722222,0,64
65,12/4/88,4,12,1988,1989,21.75611111,9.813888889,0,65
66,12/5/88,5,12,1988,1989,21.75611111,9.813888889,0,66
67,12/6/88,6,12,1988,1989,24.575,10.24777778,0,67
68,12/7/88,7,12,1988,1989,26.48611111,16.91388889,0,68
69,12/8/88,8,12,1988,1989,24.04944445,12.14111111,0,69
70,12/9/88,9,12,1988,1989,22.66388889,7.802222222,0,70
71,12/10/88,10,12,1988,1989,22.18611111,6.697777778,0,71
72,12/11/88,11,12,1988,1989,22.66388889,7.052777778,0,72
73,12/12/88,12,12,1988,1989,24.04944445,7.052777778,0,73
74,12/13/88,13,12,1988,1989,24.575,7.447222222,0,74
75,12/14/88,14,12,1988,1989,18.79388889,12.575,0,75
76,12/15/88,15,12,1988,1989,15.975,12.575,6.631,76
77,12/16/88,16,12,1988,1989,15.975,12.575,2.163,77
78,12/17/88,17,12,1988,1989,15.975,11.35222222,37.115,78
79,12/18/88,18,12,1988,1989,16.93055555,9.813888889,2.824,79
80,12/19/88,19,12,1988,1989,16.93055555,9.458888889,0,80
81,12/20/88,20,12,1988,1989,17.45611111,12.575,25.016,81
82,12/21/88,21,12,1988,1989,17.45611111,10.60277778,0.357,82
83,12/22/88,22,12,1988,1989,17.45611111,6.697777778,3.98,83
84,12/23/88,23,12,1988,1989,17.45611111,7.447222222,0,84
85,12/24/88,24,12,1988,1989,15.975,9.813888889,12.657,85
86,12/25/88,25,12,1988,1989,14.06388889,9.025,0,86
87,12/26/88,26,12,1988,1989,15.44944445,5.475,0,87
